spm,maxclick,totalclick
u-2c13wpanv3v43nkddh1,1058,95246
,746,86304
12345678,24,6960
acd6687a,19,1925
b-25628932496135-ms-f-chubao,8,7491
b-31580022738699-me-f-827,50,99520
b-31580022738699-me-f-866,5150,97821
b-31580022738699-me-f-906,700,97046
b-31835395308299-me-f-801,141,71959
c0ff2dab,9,1139
cf67d876,2,1080
e34f5e2a,8,1175
m-36664853837071-ms-f-801,14,4481
m-39273421070861-ms-f-801,14,4655
s-30489970078470-ms-f-801,279,99331
s-34297557692423-ms-f-801,34,3701
s-25339240070662-ms-f-dianhuabang,11,1554
s-29881461708298-ms-f-801,22,16981
s-31835395308299-ms-f-806,12,7022
s-39625513633301-ms-f-801,36,14157
u-2c2y1xtpp97pnc46zg,5,3889
u-2c8y59d6b3v43nkddh1,40,22189
u-2c9t94kwc97pnc46zg,52,8998
u-2cf8d2buz3v43nkddh1,574,4547
u-LQfhov5a1luDwQM,8,2746
u-LY58WKj2J9tMcKG,20,20230
u-LZHr9rm2J9tMeMj,54,9201
u-Lj3YC_O2J9tMeMj,27,20134
u-LpM61wCa1luDubj,10,6290
u-LrRTp1v2J9tMcKG,3,3676
u-LrgKtzUa1luDwQM,19,3546
u-Lt3gSeJ2J9tMcKG,17,9703
u-LvgUA-t2J9tMcKG,14,3992
u-Lx4Y3m-2J9tMcKG,7,1316
m-40071380944150-ms-f-801,6,2057
s-34167469232396-ms-f-812,14,2878
s-35228560802822-me-f-805,35,14071
u-2c9u51tfu97pnc4f21,54,5524
u-2cavdsp9m97pnc46zg,4350,75674
u-2cz2rnk1f97pnc4f21,121,56745
u-LRi8-rY2J9tMcKG,22,12054
u-LY4Wo7Sa1luDwQM,10,1457
u-LlQE_L0a1luDwQM,26,42268
u-LmInaoZa1luDubj,2118,29290
u-Lnd4Ygta1luDubj,321,98424
u-Ltra8bm2J9tMeMj,10,3934
m-29808017352203-ms-f-673,34,12088
m-39558317773073-ms-f-801,48,98395
s-31835395308299-me-f-821,3,1488
s-37702625963281-me-f-801,2743,18188
u-2c14m53bw3v43nkdq9g,138,15968
u-2c8yv25ew97pnc46zg,2298,50192
u-2cat5gn8k97pnc4f21,38,6908
u-2cezjwmyg97pnc4f21,2241,14792
u-L-LH3Gf2J9tMcKG,66,13544
u-LO-dVie2J9tMeMj,4209,99343
u-Lgpzlj5a1luDwQM,3,1020
u-LlB1ehaa1luDwQM,4581,99292
u-LrTD6Hp2J9tMcKG,36,77623
b-31580022738699-me-f-805,61,99664
b-31580022738699-me-f-814,21,31640
b-31580022738699-me-f-822,10,11142
u-2c23887h197pnc46zg,5,1255
u-2cbtsc2cw97pnc46zg,4,1114
u-2cetjpfqp3v43nkdq9g,30,10429
{keywordid},12,2665
sem_6e6_baiyi_qt,9,1064
u-2ccyxu8rb3v43nkdq9g,6,3726
u-LNTyKyCa1luDubj,48,8253
u-2ccn3hk1z97pnc4f21,30,5840
u-2cg1kjxx33v43nkdq9g,4,1690
u-LThS6jH2J9tMcKG,3732,78672
u-LYxfp0da1luDwQM,20,3528
u-2bypnjez697pnc4f21,46,4552
u-2c4n18zts3v43nkdq9g,22,13146
u-LNTy1Ima1luDubj,10,1774
2310615984,6,1262
c44d05c4,3,1613
u-LRUi0XFa1luDwQM,4,1113
u-LRg_TlX2J9tMcKG,50,8486
u-LWgPFo9a1luDubj,6,1194
u-Lx4iWOka1luDwQM,6,3403
u-2cavnqfmx97pnc4f21,30,6482
u-LZvrwGHa1luDwQM,42,8226
u-2ccw2ujqt3v43nkddh1,18,4304
u-2ccya9j663v43nkddh1,10,1600
u-2cdrwkv8f97pnc46zg,24,1842
u-2cf5z13v43v43nkdq9g,2568,46707
b-25408862998022-ms-f-803,4,2210
u-2cd51jvnr97pnc4f21,5700,67575
15330056519,9,2010
u-LNl_5vd2J9tMcKG,78,14112
u-LZv9cub2J9tMcKG,3,1375
