spm,maxclick,totalclick
u-2c13wpanv3v43nkddh1,1936,95938
s-30489970078470-ms-f-801,282,99226
s-34297557692423-ms-f-801,37,4226
u-2c661vxct97pnc46zg,18,1038
u-2c9t94kwc97pnc46zg,48,6377
u-2cavdsp9m97pnc46zg,6843,99491
u-2cd51jvnr97pnc4f21,3534,48354
u-2cetjpfqp3v43nkdq9g,24,16669
u-LQfhov5a1luDwQM,46,6916
u-LZHr9rm2J9tMeMj,36,6802
u-Lj3YC_O2J9tMeMj,75,18470
u-Lnd4Ygta1luDubj,48,98207
u-LpM61wCa1luDubj,30,10619
u-LrgKtzUa1luDwQM,7,2797
,282,97214
12345678,27,9383
b-25628932496135-ms-f-chubao,10,7635
b-31580022738699-me-f-827,86,99387
b-31580022738699-me-f-866,128,97592
b-31580022738699-me-f-868,8,3688
b-31580022738699-me-f-906,272,97052
b-31835395308299-me-f-801,218,73248
be12a546,4,1368
c03734bf,3,1056
c0ff2dab,5,1611
c4d08786,5,1394
d47bbd0d,3,1045
dce6c0ed,8,1267
df147be5,3,1102
e34f5e2a,2,1159
e8c7b493,2447,2613
e9e88c94,33,1429
f2b60d83,3,1173
f40e2334,2,1131
f86bcd5d,6,1050
m-36664853837071-ms-f-801,40,7053
m-39273421070861-ms-f-801,18,3688
b-25827481055750-ms-f-zhwnl,854,8921
fba762c2,3,1026
m-29808017352203-ms-f-673,15,14555
m-40071380944150-ms-f-801,3,1258
s-25339240070662-ms-f-dianhuabang,15,1545
s-29881461708298-ms-f-801,26,16461
s-35228560802822-me-f-805,51,10328
u-2c8yv25ew97pnc46zg,2538,46497
u-2cavnqfmx97pnc4f21,242,6398
u-2cbtsc2cw97pnc46zg,4,1445
u-LRUi0XFa1luDwQM,11,1192
u-LY5fLTL2J9tMcKG,13,1297
u-LYxfp0da1luDwQM,32,3568
u-LZvrwGHa1luDwQM,16,6538
u-LrRTp1v2J9tMcKG,11,26687
u-Lw7Uzz6a1luDubj,60,7417
u-Lx4iWOka1luDwQM,6,3452
86740592365,6,2456
a7f068e7,3,1145
b-25408862998022-ms-f-803,5,1278
m-39558317773073-ms-f-801,64,98047
m-40426949257495-me-f-801,411,4620
u-2bypnjez697pnc4f21,90,10141
u-2c23887h197pnc46zg,7,2305
u-2capt6m5e3v43nkdq9g,20,2374
u-2cezjwmyg97pnc4f21,1740,18702
u-2cf8d2buz3v43nkddh1,74,8894
u-LrTD6Hp2J9tMcKG,30,53700
s-37702625963281-me-f-801,414,4212
u-2c2y1xtpp97pnc46zg,6,3776
u-2cbu9g3yf3v43nkdq9g,10,9878
u-LY4Wo7Sa1luDwQM,4,1025
u-LY58WKj2J9tMcKG,26,22009
u-LlB1ehaa1luDwQM,5433,99319
{keywordid},15,2033
b-31580022738699-me-f-814,24,22851
b-31580022738699-me-f-822,6,6243
m-33276477696777-ms-f-804,6,1265
86740592345,6,1080
86740592349,6,1258
u-2by4r6jry3v43nkddh1,6,1230
u-2c14m53bw3v43nkdq9g,108,15920
u-2cat5gn8k97pnc4f21,63,8261
u-2ccfkg6d497pnc4f21,4,1122
u-2ccn3hk1z97pnc4f21,67,10493
u-L-LH3Gf2J9tMcKG,52,11526
u-LRg_TlX2J9tMcKG,62,8388
u-LWgPFo9a1luDubj,6,1084
u-LtuxQtT2J9tMcKG,6,1474
u-2ccnhzpt93v43nkddh1,4,1222
u-2ccw2ujqt3v43nkddh1,22,2852
u-2ccya9j663v43nkddh1,16,1638
u-2cf5z13v43v43nkdq9g,2724,47964
u-LmInaoZa1luDubj,2328,30998
s-31835395308299-ms-f-806,12,6432
s-39625513633301-ms-f-801,283,14024
u-2ccyxu8rb3v43nkdq9g,8,3250
u-LNTyKyCa1luDubj,22,4914
s-34167469232396-ms-f-812,16,2046
u-2c8y59d6b3v43nkddh1,9,4890
u-2cge1wyh53v43nkddh1,5,1104
u-2cz2rnk1f97pnc4f21,111,29508
u-LRi8-rY2J9tMcKG,28,6284
u-LVRJxy8a1luDwQM,24,1360
u-LlQE_L0a1luDwQM,34,39729
u-Ltra8bm2J9tMeMj,6,3310
b-31580022738699-me-f-805,240,99505
u-2cg1kjxx33v43nkdq9g,5,4797
u-LO-dVie2J9tMeMj,5379,99331
u-LThS6jH2J9tMcKG,4440,79149
u-2cgwebr9a3v43nkdq9g,7,2703
u-LNl_5vd2J9tMcKG,108,14271
u-Lt3gSeJ2J9tMcKG,12,8562
u-2bypnnabd3v43nkdq9g,16,1734
u-LvgUA-t2J9tMcKG,3,1334
76151195194,6,1444
86740592325,4,1338
u-2c4n18zts3v43nkdq9g,10,6350
u-LNTy1Ima1luDubj,20,2662
